City,Zone,Date Time,Latitude,Longitude,Road Length (KM),Current Speed (KMPH),Free Flow Speed (KMPH),Traffic Count (Vehicles/Hour)
Delhi,Saket,2024-07-28 15:45:39,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-07-21 15:45:39,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-07-14 15:45:40,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-07-07 15:45:40,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-06-30 15:45:41,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-06-23 15:45:42,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-06-16 15:45:42,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-06-09 15:45:43,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-06-02 15:45:44,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-05-26 15:45:45,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-05-19 15:45:45,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-05-12 15:45:46,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-05-05 15:45:47,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-04-28 15:45:47,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-04-21 15:45:48,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-04-14 15:45:49,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-04-07 15:45:50,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-03-31 15:45:51,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-03-24 15:45:51,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-03-17 15:45:52,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-03-10 15:45:52,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-03-03 15:45:53,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-02-25 15:45:53,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-02-18 15:45:54,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-02-11 15:45:55,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-02-04 15:45:56,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-01-28 15:45:56,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-01-21 15:45:57,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-01-14 15:45:58,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-01-07 15:45:58,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2023-12-31 15:45:59,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2023-12-24 15:46:00,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2023-12-17 15:46:00,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2023-12-10 15:46:01,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2023-12-03 15:46:02,28.5245,77.2103,4,18,23,11270
Delhi,Karol Bagh,2024-12-01 15:46:03,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-11-24 15:46:03,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-11-17 15:46:04,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-11-10 15:46:05,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-11-03 15:46:06,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-10-27 15:46:06,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-10-20 15:46:07,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-10-13 15:46:07,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-10-06 15:46:08,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-09-29 15:46:09,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-09-22 15:46:10,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-09-15 15:46:11,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-09-08 15:46:11,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-09-01 15:46:12,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-08-25 15:46:13,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-08-18 15:46:14,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-08-11 15:46:15,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-08-04 15:46:15,28.6514,77.1901,3.5,25,33,13258
Delhi,Karol Bagh,2024-07-28 15:46:16,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-07-21 15:46:17,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-07-14 15:46:18,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-07-07 15:46:19,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-06-30 15:46:20,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-06-23 15:46:21,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-06-16 15:46:22,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-06-09 15:46:22,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-06-02 15:46:23,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-05-26 15:46:24,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-05-19 15:46:25,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-05-12 15:46:26,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-05-05 15:46:27,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-04-28 15:46:27,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-04-21 15:46:28,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-04-14 15:46:29,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-04-07 15:46:30,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-03-31 15:46:31,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-03-24 15:46:32,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-03-17 15:46:32,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-03-10 15:46:33,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-03-03 15:46:34,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-02-25 15:46:35,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-02-18 15:46:36,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-02-11 15:46:37,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-02-04 15:46:37,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-01-28 15:46:38,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-01-21 15:46:39,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-01-14 15:46:39,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2024-01-07 15:46:40,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2023-12-31 15:46:41,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2023-12-24 15:46:41,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2023-12-17 15:46:42,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2023-12-10 15:46:43,28.6514,77.1901,3.5,24,33,12218
Delhi,Karol Bagh,2023-12-03 15:46:44,28.6514,77.1901,3.5,23,32,11572
