City,Zone,Date Time,Latitude,Longitude,Road Length (KM),Current Speed (KMPH),Free Flow Speed (KMPH),Traffic Count (Vehicles/Hour)
Delhi,Connaught Place,2024-12-01 15:44:43,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-11-24 15:44:44,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-11-17 15:44:45,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-11-10 15:44:46,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-11-03 15:44:47,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-10-27 15:44:48,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-10-20 15:44:48,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-10-13 15:44:49,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-10-06 15:44:49,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-09-29 15:44:50,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-09-22 15:44:51,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-09-15 15:44:52,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-09-08 15:44:53,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-09-01 15:44:54,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-08-25 15:44:54,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-08-18 15:44:55,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-08-11 15:44:55,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-08-04 15:44:56,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-07-28 15:44:57,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-07-21 15:44:57,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-07-14 15:44:58,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-07-07 15:44:59,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-06-30 15:44:59,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-06-23 15:45:00,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-06-16 15:45:01,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-06-09 15:45:02,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-06-02 15:45:03,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-05-26 15:45:04,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-05-19 15:45:04,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-05-12 15:45:05,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-05-05 15:45:06,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-04-28 15:45:07,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-04-21 15:45:07,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-04-14 15:45:08,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-04-07 15:45:08,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-03-31 15:45:09,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-03-24 15:45:10,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-03-17 15:45:11,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-03-10 15:45:12,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-03-03 15:45:13,28.6315,77.2167,4.5,17,25,10404
Delhi,Connaught Place,2024-02-25 15:45:14,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-02-18 15:45:14,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-02-11 15:45:15,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-02-04 15:45:16,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-01-28 15:45:16,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-01-21 15:45:17,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-01-14 15:45:18,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2024-01-07 15:45:19,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2023-12-31 15:45:19,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2023-12-24 15:45:20,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2023-12-17 15:45:21,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2023-12-10 15:45:22,28.6315,77.2167,4.5,16,24,9600
Delhi,Connaught Place,2023-12-03 15:45:23,28.6315,77.2167,4.5,16,24,9600
Delhi,Saket,2024-12-01 15:45:23,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-11-24 15:45:24,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-11-17 15:45:25,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-11-10 15:45:25,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-11-03 15:45:26,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-10-27 15:45:27,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-10-20 15:45:27,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-10-13 15:45:28,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-10-06 15:45:29,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-09-29 15:45:30,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-09-22 15:45:31,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-09-15 15:45:31,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-09-08 15:45:32,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-09-01 15:45:33,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-08-25 15:45:35,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-08-18 15:45:35,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-08-11 15:45:37,28.5245,77.2103,4,18,23,11270
Delhi,Saket,2024-08-04 15:45:38,28.5245,77.2103,4,18,23,11270
